prime,TARGET,relation1_f-t,relation2_f-t,FAS_f-t,BAS_f-t,f_CUEfanout,TARGETfanin,rank,LSA_f-t,BEAGLE_RPs,BEAGLE_PMI,BEAGLE cosine,BEAGLE WIKI NIN,BEAGLE WIKI Cosine,LSA
rabbi,jewish,supraordinate,NA,0.324,2.60E-02,10,10,1,0.55,0.044609974,3.486392124,0.16246848,40,0.390103153,0.946362187
task,job,synonym,NA,0.37,1.60E-02,11,74,1,0.34,0.424654205,0.260044377,0.531870212,8,0.415862206,0.369912433
runner,jogger,NA,NA,0.092,NA,27,3,1,0.33,0.045501576,7.556473847,0.068082132,10878,NA,0.440604855
participate,join,synonym,NA,0.186,3.90E-02,21,19,1,0.29,0.11896077,0.135687631,0.302751438,729,0.619387513,0.402980397
prank,joke,synonym,NA,0.385,0,17,23,1,0.17,0.071178966,2.821618722,0.08555608,1610,0.523152478,0.741065994
quest,journey,synonym,NA,0.174,0,16,8,1,0.25,0.195406998,0.90792845,0.227042497,410,0.593470484,0.477268739
court,judge,script,NA,0.25,0.291,17,38,1,0.77,0.224668147,2.329148284,0.564584035,9,0.810319527,0.891244689
prune,juice,supraordinate,fpa,0.223,0,14,27,1,0.02,0.016847799,4.693310066,0.090158673,2697,0.342771825,0.319759044
skip,jump,synonym,NA,0.367,0,10,34,1,0.33,0.357963923,1.227637989,0.339738813,30,0.421645045,0.551888997
safari,jungle,NA,NA,0.229,1.40E-02,15,21,1,0.34,0.025668229,3.01844724,0.082743953,2551,0.452725684,0.624278663
delinquent,juvenile,bpa,NA,0.204,0.356,18,2,1,0.81,0.088588965,59.70790067,0.434436728,2,0.598758367,0.472817733
save,keep,synonym,NA,0.239,0.119,17,35,1,0.46,0.272083737,0.137146155,NA,NA,NA,0.466887481
grounds,keeper,fpa,NA,0.122,1.40E-02,24,5,1,0.19,0.056242845,0.218085013,0.145181596,7611,0.509974656,0.124326111
fries,ketchup,script,NA,0.308,5.70E-02,9,7,1,0.16,0.065947768,5.587006743,0.00745034,NA,0.272685093,0.868270221
latch,key,fpa,NA,0.386,0,12,13,1,0.16,0.103083363,0.568995176,0.2231378,336,0.287808258,0.181071113
abduct,kidnap,synonym,NA,0.453,7.90E-02,11,4,1,-0.01,0,2.479748263,NA,NA,0.603745856,0.917910012
children,kids,synonym,NA,0.229,0.201,17,24,1,0.16,0.379729824,0.263300485,0.53412769,71,0.213957593,0.594470641
slay,kill,synonym,NA,0.689,0,6,73,1,0.19,0.08742609,0.496712616,0.09812215,2581,0.589815471,0.574651736
murderer,killer,synonym,NA,0.176,0.166,19,14,1,0.32,0.055168719,5.427213918,0.147446992,759,0.645838083,0.806295851
type,kind,synonym,NA,0.15,2.70E-02,16,36,1,0.33,0.740694599,0.210299209,0.648190717,5,0.618701858,0.383164979
throne,king,script,NA,0.759,0,7,47,1,0.73,0.221010235,0.947074899,0.55875141,2,0.744796956,0.832025378
lips,kiss,functional property,NA,0.432,0,13,23,1,0.55,0.10919004,4.281312671,0.291639066,631,0.623960005,0.631745673
cabinet,kitchen,bpa,NA,0.152,0.02,16,26,1,0.15,0.09470419,0.67232826,0.187591563,2903,0.161990408,0.100298287
clumsy,klutz,synonym,NA,0.201,NA,17,2,1,0.13,0.012028131,45.77636719,0.031216485,NA,NA,NA
kneel,knee,functional property,NA,0.162,0,13,13,1,0.31,0.100864793,10.7394204,0.104484846,1073,0.289443757,0.405517458
blade,knife,synonym,NA,0.346,0.122,9,43,1,0.58,0.217577365,5.336104897,0.532855557,3,0.606353364,0.693490479
armor,knight,perceptual property,NA,0.293,0.517,13,12,1,0.6,0.076471241,0.807945032,0.275943404,17,0.235155951,0.37289422
crochet,knit,synonym,NA,0.26,9.50E-02,18,5,1,0.04,0.086266734,124.5531,0.005533779,NA,0.194243839,0.857887959
intuition,know,unclassified,NA,0.158,0,13,39,1,0.1,0.023202961,0.109771924,NA,NA,NA,0.239049474
experience,knowledge,NA,NA,0.116,0,19,51,1,0.5,0.33522706,0.549833894,0.724047325,2,0.798509778,0.685405629
frill,lace,perceptual property,NA,0.169,5.80E-02,12,12,1,0.26,0.073484092,13.09035792,-0.010250627,NA,NA,0.719567567
rung,ladder,bpa,NA,0.26,5.50E-02,12,10,1,0.28,0.049375313,0.895838554,0.189824977,62,0.329876564,0.616671341
gentleman,lady,antonym,NA,0.329,8.60E-02,16,28,1,0.56,0.541031854,2.758219707,0.475912514,4,0.673647033,0.722620726
pond,lake,category,NA,0.351,8.70E-02,8,32,1,0.33,0.364486143,2.22401076,0.652360492,3,0.644798714,0.522143011
mutton,lamb,unclassified,NA,0.133,2.40E-02,14,9,1,0.41,0.17422669,25.90826656,0.259451167,7,0.527455121,0.786870675
acre,land,supraordinate,NA,0.675,0.02,9,53,1,0.58,0.117060026,0.56613119,0.459038306,14,0.143329793,0.550477574
spanish,language,supraordinate,NA,0.32,7.50E-02,18,22,1,0.18,0.295031909,0.736876441,0.43717014,103,0.508988632,0.397605245
vast,large,perceptual property,NA,0.207,0,18,54,1,0.42,0.464387601,0.147698573,0.644917436,4,0.57865959,0.497389415
first,last,antonym,NA,0.467,0.575,11,16,1,0.59,0.483598925,0.122617999,NA,NA,NA,0.528786287
tardy,late,synonym,NA,0.899,8.80E-02,3,21,1,0.22,0.061624617,0.632031349,0.118336969,333,NA,0.316630125
now,later,antonym,NA,0.576,NA,9,9,1,0.44,0,0.070287444,NA,NA,NA,0.367524618
giggle,laugh,category,NA,0.78,7.30E-02,7,42,1,0.49,0.352680916,14.32506887,0.316080697,5,NA,0.866328589
rights,law,unclassifed,NA,0.221,0,15,70,1,0.44,0.201048583,0.351076875,0.603032643,5,0.459638159,0.613786668
mow,lawn,functional property,NA,0.449,9.20E-02,7,12,1,0.39,0.046449557,40.84484334,0.199342859,23,NA,0.661825363
libel,lawsuit,unclassifed,NA,0.122,0,5,3,1,0.43,0.115010927,7.47789317,0.121048787,538,0.54920559,0.621451215
attorney,lawyer,synonym,NA,0.355,0.101,12,34,1,0.73,0.080777645,1.426800106,0.268697781,85,0.497661825,0.798174485
ozone,layer,fpa,NA,0.395,0,17,3,1,0.22,0.117042524,13.48003883,0.277803767,58,0.578776302,0.438504068
chairperson,leader,NA,NA,0.176,0,18,31,1,0.41,0.103210219,0.347992518,0.229616669,32,0.496156964,0.300636838
tree,leaf,perceptual property,NA,0.162,0.642,21,22,1,0.34,0.395777092,0.99150171,0.424955987,156,0.426659836,0.699885599
teach,learn,unclassifed,NA,0.415,0.178,15,39,1,0.65,0.509172628,0.610057678,0.656206346,5,0.77863118,0.757527611
suede,leather,NA,NA,0.356,5.60E-02,14,21,1,0.43,0.329997941,18.0465925,0.342229133,6,NA,0.749631042
vacate,leave,synonym,NA,0.633,0,8,73,1,0.15,0.065970434,0.171524699,0.059967595,3403,0.539919896,0.381717799
rake,leaves,instrument,NA,0.622,4.30E-02,9,9,1,0.23,0.082747423,0.091909139,0.179347458,309,0.363270265,0.445025308
balcony,ledge,unclassified,NA,0.093,3.40E-02,18,5,1,0.23,0.166878535,2.550307363,0.194933181,1273,0.401881307,0.197961869
gone,left,synonym,NA,0.136,0,20,9,1,0.49,0.408395422,0.14736186,NA,NA,NA,0.471948554
crutch,leg,instrument,NA,0.158,0,21,40,1,0.26,0.069186548,6.271696149,0.171751981,39,0.239816942,0.600819091
myth,legend,synonym,NA,0.194,4.70E-02,19,4,1,0.4,0.325455027,2.611996099,0.208828483,576,0.730214177,0.619312782
knees,legs,category,NA,0.32,0.02,17,37,1,0.55,0,3.56435055,0.441036881,27,0.667125311,0.759344749
lime,lemon,category,NA,0.573,0.429,11,10,1,0.33,0.200276051,32.85570546,0.105813987,4303,0.699972856,0.699595479
borrow,lend,antonym,NA,0.41,0.554,12,4,1,0.81,0.573608934,1.830422924,0.665458458,8,0.680525895,0.800090291
width,length,category,NA,0.464,0.285,10,15,1,0.8,0.309107507,1.324174864,0.612446353,2,0.260131232,0.725679138
more,less,antonym,NA,0.63,0.629,9,29,1,0.8,0.044276073,0.244150427,NA,NA,NA,0.689855952
diminish,lesson,synonym,NA,0.19,0,17,6,1,0.07,0.049352433,0.110409115,0.090865748,7752,0.372176355,0.293704046
allow,let,synonym,NA,0.461,0.283,16,10,1,0.25,0.336459117,0.093602784,0.470892122,336,0.495047107,0.370402583
note,letter,category,NA,0.299,4.10E-02,16,47,1,0.22,0.320909017,0.14531187,0.519481123,49,0.524343146,0.363933636
alphabet,letters,perceptual property,NA,0.412,0.144,11,10,1,0.8,0.20610395,6.018698232,0.649110346,2,0.60222686,0.54175492
salad,lettuce,script,NA,0.299,0.278,15,12,1,0.57,0.113988976,39.48917996,0.263776358,51,0.520460344,0.896315707
traitor,liar,NA,NA,0.115,0,26,19,1,0.09,0.105562355,4.988212637,0.115614254,2289,0.388029765,0.51936681
statue,liberty,perceptual property,NA,0.338,0.197,17,8,1,0.23,0.042030446,3.25450823,0.284073455,52,0.598494781,0.297975278
cover,lid,synonym,NA,0.12,0.326,23,11,1,0.35,0.149238856,0.607662722,0.337133245,1193,0.39045539,0.341285679
slander,lie,category,NA,0.108,0,24,71,1,0.19,0.032142547,0.50064475,0.093529472,1299,0.253416477,0.504854189
death,life,antonym,NA,0.273,0.485,15,107,1,0.55,0.15163292,0.215984065,NA,NA,NA,0.543993428
dim,light,antonym,NA,0.445,0,6,98,1,0.7,0.177992377,2.132670317,0.573499971,28,0.522608275,0.546450448
thunder,lightning,category,fpa,0.818,0.354,6,11,1,0.83,0.138860065,9.562607256,0.366906105,7,0.709911396,0.861784769
attract,like,unclassified,NA,0.095,0,26,40,1,0.16,0.12020047,0.106438335,NA,NA,NA,0.286345641
border,line,perceptual property,fpa,0.206,0,16,68,1,0.16,0.251385324,0.209832221,0.243233739,1749,0.252094636,0.266377201
roar,lion,perceptual property,NA,0.614,3.20E-02,11,33,1,0.52,0.16220096,5.752083905,0.319588654,87,0.440083713,0.456901792
hear,listen,unclassifed,NA,0.322,0.506,11,29,1,0.72,0.294906653,0.859565321,0.659152403,5,0.789540934,0.855964397
lots,little,antonym,NA,0.138,0,16,46,1,0.47,0.131103452,0.162710885,NA,NA,NA,0.625161067
survive,live,unclassified,NA,0.476,0,13,21,1,0.38,0.198085375,0.071847362,0.635520438,1,0.471226176,0.342850364
unload,load,antonym,NA,0.193,8.80E-02,21,13,1,0.28,0.215790572,14.97341177,0.297910795,4,0.574207699,0.598445853
crab,lobster,category,NA,0.128,0.141,21,5,1,0.5,0.179457135,38.95899606,0.129010723,2731,0.546100011,0.934189873
key,lock,instrument,NA,0.255,0.406,9,23,1,0.43,0.098024302,1.162686989,0.428908565,47,0.42813608,0.23475907
cabin,log,bpa,NA,0.415,0.109,9,14,1,0.56,0.203300477,9.758950525,0.437200817,37,0.283128337,0.230763273
alone,lonely,script,NA,0.215,0.219,19,16,1,0.6,0.15793475,0.397837211,NA,NA,NA,0.325891714
lasting,long,bpa,NA,0.259,0,16,93,1,0.37,0.266668509,0.167403216,NA,NA,NA,0.490898918
glance,look,synonym,NA,0.635,1.70E-02,9,68,1,0.39,0.650376055,1.088341441,0.429283277,62,0.63661618,0.511168911
appearance,looks,synonym,NA,0.427,0.103,16,10,1,0.29,0.123653296,0.159451882,0.381333871,412,0.743780576,0.313839483
tight,loose,antonym,NA,0.436,0.565,13,22,1,0.58,0.253826631,2.930127236,0.359924209,115,0.660073088,0.798365662
win,lose,antonym,NA,0.757,0.236,7,30,1,0.29,0.305184668,0.538393079,0.332176133,385,0.725967564,0.525112814
winner,loser,antonym,NA,0.6,0.508,10,16,1,0.55,0.111485852,6.44725774,0.213674016,77,0.667449114,0.535235294
confusion,lost,unclassifed,NA,0.069,0,29,45,1,0.38,0.097941037,0.111821229,0.420018232,19,0.465748115,0.396307844
parking,lot,fpa,NA,0.247,0,12,38,1,0.37,0.099012715,0.746032255,0.306627304,46,0.715867949,0.129503172
abundance,lots,synonym,NA,0.224,0,21,16,1,0.05,0.030902674,0.109464343,0.182156681,2011,0.512186672,0.282419588
noisy,loud,synonym,NA,0.671,0,8,83,1,0.64,0.175717043,4.763649273,0.260522889,601,0.698868647,0.738664989
like,love,category,NA,0.335,4.40E-02,16,181,1,0.37,0.373368916,0.309213899,NA,NA,NA,0.409483478
caring,loving,synonym,NA,0.493,0.37,18,8,1,0.47,0.227319,0.281265246,0.409478617,44,0.649191083,0.528268454
high,low,antonym,NA,0.655,0.777,11,33,1,0.79,0.505169692,0.392812869,0.601909575,9,0.435032099,0.570039867
chance,luck,category,NA,0.162,4.80E-02,19,13,1,0.51,0.09982674,0.714695235,0.232593572,4596,0.572908447,0.621647562
baggage,luggage,synonym,NA,0.401,0.137,10,7,1,0.48,0.132840198,40.69222355,0.164952263,1591,0.665258232,0.838850574
noon,lunch,script,NA,0.2,3.80E-02,13,18,1,0.35,0.308206519,2.698520517,0.366147951,50,0.373948026,0.583511174
copier,machine,fpa,NA,0.236,0,14,39,1,0.38,0.099336316,1.463505678,0.229379029,42,0.287201858,0.410012551
pissed,mad,category,NA,0.311,2.90E-02,7,50,1,0.24,0,0.397794943,0.145155742,413,NA,0.775303288
issue,magazine,NA,NA,0.104,0,24,29,1,0.24,0.074159794,0.607436306,0.331540191,1323,0.68954085,0.544935888
magician,magic,script,NA,0.226,3.40E-02,12,19,1,0.54,0.078844764,5.685494462,0.269148965,15,0.655186836,0.875747925
cleaner,maid,unclassified,NA,0.061,0,27,13,1,0.1,0.089699311,0.792393608,0.074118514,11363,0.291288678,0.16531562
mailman,mail,NA,NA,0.373,0,12,20,1,0.48,0.026336465,16.16097507,0.124255302,1677,NA,0.542073113
minor,major,antonym,NA,0.538,0.408,13,23,1,0.35,0.224082193,1.659257772,0.390188645,4,0.82454176,0.70051812
create,make,synonym,NA,0.269,0.172,13,64,1,0.37,0.376417743,0.067803194,NA,NA,NA,0.488612042
manufacturer,maker,synonym,NA,0.227,0,24,8,1,0.3,0.094978442,0.951462328,0.187425397,2279,0.672965228,0.53912801
female,male,category,NA,0.552,0.648,12,20,1,0.96,0.152128585,2.121312307,0.400792325,15,0.109572656,0.709836483
plaza,mall,unclassifed,NA,0.23,0,13,12,1,0.22,0.245152967,26.3970157,0.125103018,3148,0.674937734,0.762128506
mister,man,synonym,NA,0.221,0,12,171,1,0.48,0.08260933,0.579639559,NA,NA,NA,0.500458843
etiquette,manners,category,NA,0.444,0.166,11,12,1,0.19,0,18.78699593,0.17143727,142,0.432159395,0.573682553
variety,many,synonym,NA,0.135,0,17,46,1,0.53,0.209713427,0.128123907,NA,NA,NA,0.476043198
atlas,map,category,NA,0.527,2.40E-02,10,20,1,0.71,0.177956119,1.918886954,0.615809198,5,0.471231841,0.591212976
highlight,marker,NA,NA,0.087,0,25,5,1,0.16,0.085026232,0.057105967,0.086008135,2362,0.387758906,0.295652378
stock,market,fpa,NA,0.154,1.40E-02,21,13,1,0.41,0.231801944,1.556410115,0.503884312,11,0.614896286,0.552074008
threshold,marriage,unclassifed,NA,0.133,0,22,37,1,0.05,0.034699654,0.083789652,0.105440172,6210,0.26282112,0.110354105
single,marry,antonym,NA,0.197,3.30E-02,11,9,1,0.2,0.121957791,0.030649781,0.276634166,3642,0.239803046,0.062276886
rub,massage,synonym,NA,0.158,0.167,23,5,1,0.16,0.058224992,5.903515624,0.114894611,4449,0.256688906,0.358755163
cloth,material,supraordinate,NA,0.206,0.15,21,24,1,0.24,0.129264194,0.539020542,0.283192939,240,0.507409664,0.30823658
calculator,math,functional property,NA,0.496,1.20E-02,12,80,1,0.23,0.025656849,4.372517503,0.073669596,4997,0.337127663,0.358999049
might,maybe,synonym,NA,0.209,2.60E-02,16,15,1,0.35,0.306864738,0.109633964,NA,NA,NA,0.438011346
labyrinth,maze,synonym,NA,0.465,1.60E-02,9,5,1,0.37,0.201355493,26.86542459,0.191883769,27,0.639155858,0.794854345
self,me,synonym,NA,0.479,1.30E-02,13,104,1,0.08,0,0.314018139,NA,NA,NA,0.377101915
harsh,mean,category,NA,0.212,0,17,119,1,0.14,0.10068557,0.094367964,0.223595806,912,0.417449546,0.414777227
definition,meaning,synonym,NA,0.229,0.27,9,13,1,0.6,0.234067508,0.29359288,0.600083703,2,0.407928912,0.513642651
raw,meat,fpa,NA,0.336,1.30E-02,20,68,1,0.28,0.074981699,2.666522264,0.213799241,400,0.444223536,0.559731569
ointment,medicine,supraordinate,NA,0.156,0,20,46,1,0.1,0.008065112,0.518456265,0.012910526,NA,0.181112355,0.352192032
introduce,meet,unclassified,NA,0.381,7.60E-02,15,11,1,0.26,0.206031605,0.084089008,0.300924046,404,0.703134577,0.401107452
conference,meeting,synonym,NA,0.39,0.274,11,18,1,0.55,0.116931905,0.396408576,0.464554743,4,0.627584898,0.541540673
women,men,antonym,category,0.45,0.614,13,29,1,0.66,0.80816377,0.894360356,NA,NA,NA,0.80994707
slob,messy,synonym,NA,0.243,2.80E-02,14,19,1,-0.01,0,6.809855222,0.045634413,8825,0.3075857,0.689187167
steel,metal,supraordinate,NA,0.308,0.121,17,45,1,0.48,0.270015292,0.919679566,0.463513238,24,0.38884694,0.614810969
center,middle,synonym,NA,0.432,0.117,11,17,1,0.25,0.049748482,0.288966181,0.356443481,744,0.458526109,0.323405927
kilometer,mile,category,NA,0.5,0.152,12,7,1,0.4,0.584060802,1.461119294,0.37784474,4,0.5879553,0.14404525
dairy,milk,supraordinate,NA,0.494,1.20E-02,13,42,1,0.68,0.22968058,19.02085936,0.537512473,2,0.663000332,0.810978203
psychology,mind,unclassified,NA,0.273,0,14,51,1,0.23,0.075049384,1.011534412,0.313861542,345,0.45335534,0.414694697
own,mine,unclassifed,NA,0.217,4.80E-02,16,27,1,0.23,0.126405953,0.100382495,NA,NA,NA,0.323619615
maximum,minimum,antonym,NA,0.454,0.403,14,2,1,0.64,0.241718133,5.625922782,0.50550798,12,0.667722707,0.759201481
major,minor,antonym,NA,0.408,0.538,10,8,1,0.35,0.224082193,1.659642453,0.390188645,1506,0.82454176,0.70051812
plus,minus,antonym,NA,0.683,0.52,4,8,1,0.49,0.163928044,2.813080803,NA,NA,NA,0.373846457
hour,minute,category,NA,0.469,0.265,8,8,1,0.51,0.521067452,1.292750951,0.306405056,99,0.654992284,0.70399197
reflection,mirror,instrument,NA,0.715,0.383,11,19,1,0.82,0.123469537,4.479986313,0.54410507,3,0.590913356,0.51373111
fog,mist,NA,NA,0.17,0.5,25,8,1,0.59,0.378059007,9.353145577,0.495094127,3,0.628469148,0.770021059
folly,mistake,synonym,NA,0.083,0,13,19,1,0.3,0.125007003,0.320392571,0.137359405,2500,0.448530314,0.54749584
confuse,misunderstand,synonym,NA,0.081,NA,24,3,1,0.02,0.25860483,0.366775966,0.076099022,10574,0.403618049,0.758657682
blend,mix,synonym,NA,0.565,0.114,12,18,1,0.24,0.360358449,0.691775634,0.14792649,1578,0.384621782,0.732341055
combination,mixture,synonym,NA,0.182,0.149,16,5,1,0.31,0.14314002,0.283587952,0.405984094,266,0.747012406,0.421485062
gangster,mob,supraordinate,NA,0.434,1.60E-02,12,5,1,-0.01,0.005962318,3.72711893,0.052785589,10488,0.628609841,0.716622508
contemporary,modern,synonym,NA,0.313,6.10E-02,15,6,1,0.59,0.39363926,0.399792719,0.565868611,3,0.725302517,0.637820563
shape,mold,synonym,NA,0.167,0.06,18,20,1,0.21,0.080248675,1.347839288,0.340396966,513,0.563898583,0.534324657
dad,mom,category,NA,0.71,0.759,5,35,1,0.94,0.38278604,35.70586783,0.55340182,16,0.869616475,0.840918074
wallet,money,instrument,NA,0.63,0,10,302,1,0.44,0.100252626,1.510313588,0.195451927,272,0.515066328,0.499204763
monastery,monk,script,NA,0.462,9.50E-02,7,5,1,0.76,0.081475739,6.665758838,0.265619301,46,0.681220183,0.827410478
primate,monkey,category,NA,0.283,0,13,23,1,0.36,0.106057414,5.552315147,0.101894224,2751,0.28101288,0.447978047
frankenstein,monster,supraordinate,NA,0.559,0.133,13,22,1,0.2,0.04253453,13.05714862,0.088720767,1463,0.535792032,0.754661001
weekly,monthly,category,NA,0.245,0.178,16,6,1,0.44,0.221771804,4.074665912,0.356992415,21,0.757145345,0.628806832
crescent,moon,fpa,NA,0.524,0,9,37,1,0.41,0.03399204,4.382434148,0.23161382,42,0.508239617,0.298937838
extra,more,synonym,NA,0.377,0,18,26,1,0.48,0.190662427,0.119337159,NA,NA,NA,0.528485895
dew,morning,bpa,NA,0.155,1.40E-02,13,28,1,0.24,0.033082951,3.312615119,0.315675472,253,0.353947406,0.390807638
least,most,antonym,NA,0.459,0.216,11,11,1,0.59,0,0.133507015,NA,NA,NA,0.529483263
hotel,motel,category,NA,0.25,0.391,16,6,1,0.47,0.081288598,5.533167883,0.365598426,229,0.651902508,0.568400204
father,mother,antonym,NA,0.706,0.597,4,48,1,0.55,0.484227036,1.742849672,0.68871464,10,0.873482961,0.864809195
movement,motion,synonym,NA,0.155,0.229,16,13,1,0.32,0.277099307,0.24151452,0.460125938,304,0.364803957,0.420268008
helmet,motorcycle,bpa,NA,0.258,0.101,11,9,1,0.42,0.05431647,4.261076135,0.207670033,712,0.385781864,0.623287508
hill,mountain,category,NA,0.428,0.265,14,59,1,0.3,0.428741072,0.883604257,0.50210722,41,0.650103571,0.381135791
smoky,mountains,fpa,NA,0.193,NA,16,4,1,0.09,0.119713682,5.147878881,0.143832535,2908,0.710041596,0.385519444
squeak,mouse,NA,NA,0.288,0,13,20,1,0.26,0.09306698,4.90841241,0.169148844,714,0.321326206,0.260784421
jaw,mouth,category,NA,0.253,0,13,47,1,0.6,0.238144664,3.317727862,0.427223608,11,0.318130462,0.648365931
shift,move,synonym,NA,0.324,1.10E-02,10,58,1,0.2,0.25114549,0.163720874,0.333332434,202,0.459199716,0.562166742
motion,movement,synonym,NA,0.229,0.155,16,12,1,0.32,0.277099307,0.24151452,0.460125938,48,0.364803957,0.420268008
production,movie,bpa,NA,0.142,0,19,103,1,0.1,0.074264499,0.255198925,0.190995151,4755,0.604303419,0.253041503
dirt,mud,category,NA,0.276,0.599,18,27,1,0.5,0.24339652,2.297479754,0.48139225,5,0.271146632,0.619655034
divide,multiply,antonym,NA,0.253,0.456,15,9,1,0.28,0.129347045,1.620768362,0.342993557,181,0.506920424,0.640389922
kill,murder,synonym,NA,0.287,0.564,19,28,1,0.3,0.16669421,0.566991279,0.228161703,1990,0.622737864,0.613194352
killer,murderer,synonym,NA,0.166,0.176,19,4,1,0.32,0.055168719,5.427213918,0.147446992,2426,0.645838083,0.806295851
flex,muscle,functional property,fpa,0.458,5.50E-02,14,34,1,0.43,0.114355706,7.336875822,0.204871849,22,0.390967272,0.479852578
tune,music,synonym,NA,0.311,4.10E-02,14,132,1,0.75,0.130271748,0.512013555,0.458324787,2,0.580880307,0.563733314
beard,mustache,category,NA,0.31,0.446,13,3,1,0.61,0.505645642,25.9298303,0.585466397,8,0.64803953,0.730151781
tack,nail,category,NA,0.181,0,12,29,1,0.21,0.149089266,12.47784474,0.14989047,271,0.301007113,0.646948486
strip,naked,fpa,NA,0.128,NA,26,7,1,0.19,0.050494524,1.190423413,0.228709949,1535,0.327247721,0.332141567
initial,name,unclassifed,NA,0.268,0,11,37,1,0.08,0.177950359,0.105296266,NA,NA,NA,0.159918591
wide,narrow,antonym,NA,0.179,0.406,15,9,1,0.58,0.285797294,1.023100143,0.482121033,10,0.501156637,0.303082583
natural,nature,unclassifed,NA,0.087,0,25,23,1,0.55,0.099010367,0.487872795,0.464444086,19,0.653577929,0.449617749
army,navy,category,NA,0.5,0.543,12,16,1,0.55,0.377625186,0.719397487,0.627781328,9,0.567956713,0.239958638
far,near,antonym,NA,0.503,0.535,12,14,1,0.51,0.238904435,0.145384594,NA,NA,NA,0.720613174
organize,neat,unclassifed,NA,0.207,0.02,23,21,1,0.1,0.087284416,0.088490895,0.167617534,5309,0.390489786,0.16993579
scarf,neck,instrument,NA,0.162,0,17,23,1,0.37,0.121225276,3.83108002,0.368960199,14,0.567062384,0.562492783
bead,necklace,supraordinate,NA,0.384,2.10E-02,20,12,1,0.06,0.126640455,28.56296547,0.023171661,NA,0.365387495,0.654391274
necessary,need,synonym,NA,0.473,0,12,32,1,0.39,0.378746077,0.279682345,NA,NA,NA,0.610411964
injection,needle,functional property,NA,0.331,0,12,32,1,0.13,0.031971281,3.351991497,0.165581419,730,0.218626271,0.695192582
positive,negative,antonym,NA,0.627,0.603,9,12,1,0.98,0.731973139,11.61723361,0.617953215,3,0.827171279,0.816292482
community,neighborhood,synonym,NA,0.123,3.40E-02,21,9,1,0.47,0.400096122,0.577408572,0.586909974,22,0.711355489,0.25574753
niece,nephew,antonym,NA,0.658,0.476,9,2,1,0.52,0.119961989,20.91875157,0.186909937,653,0.734134182,0.831083309
anxiety,nervous,NA,NA,0.127,0,19,32,1,0.18,0.01460691,2.821588823,0.126098977,6450,0.233636939,0.62889549
axon,neuron,supraordinate,NA,0.173,1.40E-02,14,2,1,0.98,0.157245035,69.31720678,0.770149497,2,0.680952863,0.929837714
electron,neutron,category,NA,0.265,0.2,15,3,1,0.34,0.286153812,8.166941379,0.501227267,22,0.360481554,0.86594639
ever,never,unclassified,NA,0.245,0.141,14,30,1,0.75,0.695122598,0.29845418,NA,NA,NA,0.880751987
old,new,synonym,NA,0.473,0.725,9,75,1,0.34,0.17273951,0.15816463,NA,NA,NA,0.344230833
update,news,unclassifed,NA,0.311,1.40E-02,18,33,1,0.02,0.03485212,0.972234092,0.124731853,1544,0.432539782,0.506464723
column,newspaper,bpa,NA,0.264,0,17,37,1,0.06,0.047148753,1.146547573,0.14158642,1175,0.505866889,0.568726312
fig,newton,fpa,NA,0.308,0.178,10,4,1,0.08,0.002215895,2.220164765,0.148945128,3021,0.309785368,0.300356421
friendliness,nice,synonym,NA,0.19,0,19,115,1,0.23,0.046638161,0,0.121853882,1973,0.321414197,0.405982033
moonlight,night,script,NA,0.203,0,19,56,1,0.56,0.107686343,1.472631061,0.414376818,5,0.726686662,0.495119367
refuse,no,unclassified,NA,0.272,2.90E-02,18,63,1,0.45,0.173302885,0.076046067,NA,NA,NA,0.448683779
sound,noise,synonym,NA,0.362,0.147,10,65,1,0.58,0.453683681,1.407674943,0.593007049,6,0.586884707,0.673403764
all,none,antonym,NA,0.333,0.203,12,43,1,0.65,0.272647857,0.115632301,NA,NA,NA,0.703205095
oodles,noodles,fpa,NA,0.455,3.90E-02,9,7,1,NA,0,127.6813075,NA,NA,NA,0.28793124
standard,normal,synonym,NA,0.11,0,26,19,1,0.15,0.197928415,0.179873817,0.388375437,128,0.628459831,0.45215054
snot,nose,NA,NA,0.378,0,13,49,1,0.24,0.026429513,5.140360396,0.076190131,2112,0.311577273,0.619520206
maybe,not,fpa,NA,0.182,0,23,46,1,0.38,0.329485832,0.13203111,NA,NA,NA,0.499939912
message,note,synonym,NA,0.262,0.09,16,15,1,0.14,0.157712498,0.106919491,0.468850903,20,0.529185635,0.288313499
worthless,nothing,unclassifed,NA,0.122,0,26,37,1,0.3,0.122850913,0.666075192,NA,NA,NA,0.744672869
mystery,novel,fpa,NA,0.122,0,19,16,1,0.35,0.150367215,1.051197028,NA,NA,NA,0.627810815
beginner,novice,synonym,NA,0.199,0.283,18,5,1,0.18,0.038339897,9.361119946,0.037013693,NA,0.554010651,0.747486803
happening,now,fpa,NA,0.169,0,11,44,1,0.52,0.219881411,0.104824924,NA,NA,NA,0.503682978
digit,number,synonym,NA,0.72,0,11,66,1,0.4,0.066270543,2.04669219,0.295918236,9,0.522023571,0.569231841
convent,nun,script,NA,0.747,3.40E-02,6,10,1,0.3,0.048224282,19.60692137,0.115323285,2329,0.5296663,0.802493009
uniform,nurse,bpa,NA,0.119,0,20,13,1,0.16,0.110301884,0.560507571,0.169287302,5953,0.282044635,0.151697468
